mHiggs mTop log10gamma lmin
1.214000e+02 1.700000e+02 -1.923640e+03 -5.648149e-03
1.214000e+02 1.702000e+02 -1.523300e+03 -6.842801e-03
1.214000e+02 1.704000e+02 -1.246914e+03 -8.041307e-03
1.214000e+02 1.706000e+02 -1.044727e+03 -9.243601e-03
1.214000e+02 1.708000e+02 -8.904410e+02 -1.044968e-02
1.214000e+02 1.710000e+02 -7.688588e+02 -1.165954e-02
1.214000e+02 1.712000e+02 -6.705928e+02 -1.287319e-02
1.214000e+02 1.714000e+02 -5.895313e+02 -1.409061e-02
1.214000e+02 1.716000e+02 -5.215256e+02 -1.531182e-02
1.214000e+02 1.718000e+02 -4.636608e+02 -1.653680e-02
1.214000e+02 1.720000e+02 -4.138290e+02 -1.776556e-02
1.214000e+02 1.722000e+02 -3.704684e+02 -1.899810e-02
1.214000e+02 1.724000e+02 -3.323971e+02 -2.023498e-02
1.214000e+02 1.726000e+02 -2.987044e+02 -2.147671e-02
1.214000e+02 1.728000e+02 -2.686769e+02 -2.272232e-02
1.214000e+02 1.730000e+02 -2.417485e+02 -2.397182e-02
1.214000e+02 1.732000e+02 -2.174637e+02 -2.522521e-02
1.214000e+02 1.734000e+02 -1.954521e+02 -2.648248e-02
1.214000e+02 1.736000e+02 -1.754094e+02 -2.774364e-02
1.214000e+02 1.738000e+02 -1.570833e+02 -2.900869e-02
1.214000e+02 1.740000e+02 -1.402626e+02 -3.027918e-02
1.214000e+02 1.742000e+02 -1.247695e+02 -3.155431e-02
1.214000e+02 1.744000e+02 -1.104531e+02 -3.283344e-02
1.214000e+02 1.746000e+02 -9.718465e+01 -3.411658e-02
1.214000e+02 1.748000e+02 -8.485335e+01 -3.540374e-02
1.214000e+02 1.750000e+02 -7.336354e+01 -3.669491e-02
1.214000e+02 1.752000e+02 -6.263215e+01 -3.799010e-02
1.214000e+02 1.754000e+02 -5.258663e+01 -3.929200e-02
1.214000e+02 1.756000e+02 -4.316345e+01 -4.059807e-02
1.214000e+02 1.758000e+02 -3.430665e+01 -4.190828e-02
1.214000e+02 1.760000e+02 -2.596681e+01 -4.322263e-02
1.214000e+02 1.762000e+02 -1.810005e+01 -4.454115e-02
1.214000e+02 1.764000e+02 -1.066738e+01 -4.586382e-02
