mHiggs mTop log10gamma lmin
1.210000e+02 1.748000e+02 -1.033347e+02 -3.355307e-02
1.210000e+02 1.750000e+02 -9.073204e+01 -3.482485e-02
1.210000e+02 1.752000e+02 -7.899230e+01 -3.610069e-02
1.210000e+02 1.754000e+02 -6.803001e+01 -3.738061e-02
1.210000e+02 1.756000e+02 -5.777065e+01 -3.866461e-02
1.210000e+02 1.758000e+02 -4.814887e+01 -3.995269e-02
1.210000e+02 1.760000e+02 -3.910717e+01 -4.124739e-02
1.210000e+02 1.762000e+02 -3.059479e+01 -4.254652e-02
1.210000e+02 1.764000e+02 -2.256668e+01 -4.384985e-02
1.210000e+02 1.766000e+02 -1.498280e+01 -4.515740e-02
1.210000e+02 1.768000e+02 -7.807379e+00 -4.646916e-02
1.210000e+02 1.770000e+02 -1.008336e+00 -4.778515e-02
1.210000e+02 1.772000e+02 5.442773e+00 -4.910682e-02
1.210000e+02 1.774000e+02 1.157228e+01 -5.043453e-02
1.210000e+02 1.776000e+02 1.740352e+01 -5.176660e-02
1.210000e+02 1.778000e+02 2.295765e+01 -5.310302e-02
1.210000e+02 1.780000e+02 2.825389e+01 -5.444381e-02
1.210000e+02 1.782000e+02 3.330977e+01 -5.578898e-02
1.210000e+02 1.784000e+02 3.814123e+01 -5.713904e-02
1.210000e+02 1.786000e+02 4.276283e+01 -5.849663e-02
1.210000e+02 1.788000e+02 4.718792e+01 -5.985873e-02
1.210000e+02 1.790000e+02 5.142875e+01 -6.122535e-02
1.210000e+02 1.792000e+02 5.549654e+01 -6.259650e-02
1.210000e+02 1.794000e+02 5.940165e+01 -6.397219e-02
1.210000e+02 1.796000e+02 6.315362e+01 -6.535244e-02
1.210000e+02 1.798000e+02 6.676127e+01 -6.674063e-02
1.210000e+02 1.800000e+02 7.023274e+01 -6.813412e-02
1.212000e+02 1.700000e+02 -3.195858e+03 -3.694785e-03
1.212000e+02 1.702000e+02 -2.298465e+03 -4.872240e-03
1.212000e+02 1.704000e+02 -1.769979e+03 -6.053445e-03
1.212000e+02 1.706000e+02 -1.422171e+03 -7.238397e-03
1.212000e+02 1.708000e+02 -1.176076e+03 -8.427093e-03
1.212000e+02 1.710000e+02 -9.928414e+02 -9.619530e-03
1.212000e+02 1.712000e+02 -8.511443e+02 -1.081571e-02
1.212000e+02 1.714000e+02 -7.383162e+02 -1.201562e-02
