mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
3.8037436e+20	4.7036068e-01	4.9674589e-01	6.3751627e-01	3.6409853e-01	4.9062033e-03	1.1912061e-03	1.0871687e-04	2.3658720e-06	5.3226052e-06	9.0496141e-03	5.3497920e-04	2.5873366e-06	-1.1079476e-02
6.0285274e+20	4.6824226e-01	4.9562734e-01	6.4065649e-01	3.6188633e-01	4.8741165e-03	1.1832686e-03	1.0806889e-04	2.3501073e-06	5.2908810e-06	9.0215084e-03	5.3331751e-04	2.5793001e-06	-1.0937718e-02
9.5545720e+20	4.6615230e-01	4.9451625e-01	6.4384358e-01	3.5969605e-01	4.8424566e-03	1.1754202e-03	1.0742882e-04	2.3345195e-06	5.2595443e-06	8.9931929e-03	5.3164341e-04	2.5712036e-06	-1.0788844e-02
1.5142976e+21	4.6409018e-01	4.9341256e-01	6.4707870e-01	3.5752718e-01	4.8112138e-03	1.1676588e-03	1.0679649e-04	2.3191044e-06	5.2285865e-06	8.9646669e-03	5.2995687e-04	2.5630469e-06	-1.0633029e-02
2.4000000e+21	4.6205528e-01	4.9231616e-01	6.5036308e-01	3.5537920e-01	4.7803786e-03	1.1599823e-03	1.0617173e-04	2.3038579e-06	5.1979992e-06	8.9359296e-03	5.2825785e-04	2.5548299e-06	-1.0470441e-02
3.8037436e+21	4.6004700e-01	4.9122700e-01	6.5369799e-01	3.5325165e-01	4.7499418e-03	1.1523886e-03	1.0555437e-04	2.2887760e-06	5.1677743e-06	8.9069801e-03	5.2654628e-04	2.5465522e-06	-1.0301237e-02
6.0285274e+21	4.5806478e-01	4.9014499e-01	6.5708474e-01	3.5114403e-01	4.7198943e-03	1.1448758e-03	1.0494425e-04	2.2738548e-06	5.1379039e-06	8.8778173e-03	5.2482210e-04	2.5382135e-06	-1.0125566e-02
9.5545720e+21	4.5610805e-01	4.8907004e-01	6.6052469e-01	3.4905588e-01	4.6902276e-03	1.1374421e-03	1.0434122e-04	2.2590905e-06	5.1083803e-06	8.8484399e-03	5.2308524e-04	2.5298135e-06	-9.9435667e-03
1.5142976e+22	4.5417627e-01	4.8800210e-01	6.6401925e-01	3.4698674e-01	4.6609332e-03	1.1300855e-03	1.0374511e-04	2.2444795e-06	5.0791961e-06	8.8188466e-03	5.2133562e-04	2.5213517e-06	-9.7553706e-03
2.4000000e+22	4.5226891e-01	4.8694107e-01	6.6756988e-01	3.4493618e-01	4.6320028e-03	1.1228043e-03	1.0315579e-04	2.2300181e-06	5.0503439e-06	8.7890359e-03	5.1957316e-04	2.5128278e-06	-9.5611004e-03
3.8037436e+22	4.5038546e-01	4.8588689e-01	6.7117811e-01	3.4290374e-01	4.6034284e-03	1.1155967e-03	1.0257311e-04	2.2157029e-06	5.0218167e-06	8.7590062e-03	5.1779774e-04	2.5042413e-06	-9.3608702e-03
6.0285274e+22	4.4852543e-01	4.8483949e-01	6.7484551e-01	3.4088902e-01	4.5752024e-03	1.1084608e-03	1.0199692e-04	2.2015303e-06	4.9936076e-06	8.7287558e-03	5.1600928e-04	2.4955917e-06	-9.1547862e-03
9.5545720e+22	4.4668833e-01	4.8379880e-01	6.7857372e-01	3.3889158e-01	4.5473171e-03	1.1013952e-03	1.0142710e-04	2.1874971e-06	4.9657099e-06	8.6982826e-03	5.1420765e-04	2.4868785e-06	-8.9429462e-03
1.5142976e+23	4.4487369e-01	4.8276473e-01	6.8236444e-01	3.3691103e-01	4.5197652e-03	1.0943980e-03	1.0086350e-04	2.1736000e-06	4.9381170e-06	8.6675846e-03	5.1239274e-04	2.4781009e-06	-8.7254403e-03
2.4000000e+23	4.4308107e-01	4.8173723e-01	6.8621944e-01	3.3494695e-01	4.4925396e-03	1.0874678e-03	1.0030600e-04	2.1598357e-06	4.9108227e-06	8.6366596e-03	5.1056441e-04	2.4692585e-06	-8.5023503e-03
3.8037436e+23	4.4131002e-01	4.8071623e-01	6.9014057e-01	3.3299897e-01	4.4656332e-03	1.0806028e-03	9.9754465e-05	2.1462011e-06	4.8838205e-06	8.6055054e-03	5.0872253e-04	2.4603506e-06	-8.2737505e-03
6.0285274e+23	4.3956010e-01	4.7970166e-01	6.9412974e-01	3.3106668e-01	4.4390393e-03	1.0738016e-03	9.9208778e-05	2.1326931e-06	4.8571046e-06	8.5741192e-03	5.0686694e-04	2.4513763e-06	-8.0397071e-03
